frame,timestamp,count,avg,max,fps,sum_acc,max_acc,total_people
0,1761881195.7499127,15,15.0,15,0.0,15.0,1.0,15
1,1761881195.922025,13,14.0,15,0.0,28.0,2.0,28
2,1761881196.1086118,15,14.333333333333334,15,4.432303947641877,43.0,3.0,43
3,1761881196.2751706,15,14.5,15,4.432303947641877,58.0,4.0,58
4,1761881196.4298186,14,14.4,15,4.432303947641877,72.0,5.0,72
5,1761881196.5807266,16,14.666666666666666,16,4.432303947641877,88.0,6.0,88
6,1761881196.742141,17,15.0,17,6.310922830335524,105.0,7.0,105
7,1761881196.8948274,16,15.125,17,6.310922830335524,121.0,8.0,121
8,1761881197.045282,17,15.333333333333334,17,6.310922830335524,138.0,9.0,138
9,1761881197.1969442,16,15.4,17,6.310922830335524,154.0,10.0,154
10,1761881197.342401,18,15.636363636363637,18,6.664268508926359,172.0,11.0,172
11,1761881197.499434,20,16.0,20,6.664268508926359,192.0,12.0,192
12,1761881197.6578836,21,16.384615384615383,21,6.664268508926359,213.0,13.0,213
13,1761881197.8187146,22,16.785714285714285,22,6.664268508926359,235.0,14.0,235
14,1761881197.9667978,19,16.933333333333334,22,6.40706589794577,254.0,15.0,254
15,1761881198.1211338,17,16.9375,22,6.40706589794577,271.0,16.0,271
16,1761881198.2634916,17,16.941176470588236,22,6.40706589794577,288.0,17.0,288
17,1761881198.40777,16,16.88888888888889,22,6.40706589794577,304.0,17.0,304
18,1761881198.5596962,19,17.0,22,6.744555219656525,323.0,17.0,323
19,1761881198.703457,18,17.05,22,6.744555219656525,341.0,18.0,341
20,1761881198.839281,13,16.857142857142858,22,6.744555219656525,354.0,18.0,354
21,1761881198.9898658,15,16.772727272727273,22,6.744555219656525,369.0,19.0,369
22,1761881199.1367264,19,16.869565217391305,22,6.932633618935263,388.0,20.0,388
23,1761881199.2779417,18,16.916666666666668,22,6.932633618935263,406.0,21.0,406
24,1761881199.4209118,13,16.76,22,6.932633618935263,419.0,22.0,419
25,1761881199.562788,16,16.73076923076923,22,6.932633618935263,435.0,23.0,435
26,1761881199.705006,16,16.703703703703702,22,7.039808794255771,451.0,24.0,451
27,1761881199.842572,15,16.642857142857142,22,7.039808794255771,466.0,25.0,466
28,1761881199.9890375,18,16.689655172413794,22,7.039808794255771,484.0,26.0,484
29,1761881200.1410887,14,16.6,22,7.039808794255771,498.0,27.0,498
30,1761881200.283791,16,16.580645161290324,22,6.912650065038312,514.0,28.0,514
31,1761881200.4419935,12,16.4375,22,6.912650065038312,526.0,29.0,526
