epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.575,2.73514,1.85699,1.58013,0.35615,0.27471,0.21838,0.07659,2.51987,1.71069,1.49525,0.000663818,0.000663818,0.000663818
2,194.315,2.62417,1.69728,1.46564,0.45791,0.26095,0.29575,0.10491,2.54298,1.65869,1.47399,0.00131731,0.00131731,0.00131731
3,279.64,2.61674,1.67085,1.45341,0.49939,0.29151,0.33512,0.11851,2.4903,1.54701,1.43585,0.00195761,0.00195761,0.00195761
4,364.357,2.58004,1.63167,1.43049,0.49761,0.25064,0.29309,0.09568,2.67524,1.6182,1.50518,0.0019406,0.0019406,0.0019406
5,450.542,2.54684,1.6168,1.41309,0.54532,0.31504,0.36659,0.1256,2.48717,1.50354,1.40197,0.0019208,0.0019208,0.0019208
6,535.76,2.51828,1.5618,1.3968,0.53555,0.30964,0.35914,0.12267,2.52702,1.52254,1.45679,0.001901,0.001901,0.001901
7,621.396,2.53464,1.56822,1.39906,0.5217,0.29269,0.33911,0.1159,2.55145,1.52267,1.46448,0.0018812,0.0018812,0.0018812
8,705.551,2.5322,1.55858,1.39151,0.56064,0.29663,0.35897,0.1286,2.49975,1.47917,1.42195,0.0018614,0.0018614,0.0018614
9,790.572,2.48663,1.50759,1.36505,0.59279,0.31846,0.38678,0.13881,2.45613,1.4289,1.40259,0.0018416,0.0018416,0.0018416
10,876.788,2.51214,1.53634,1.372,0.59443,0.30759,0.3812,0.1385,2.43062,1.45756,1.39264,0.0018218,0.0018218,0.0018218
11,960.58,2.471,1.50153,1.37118,0.59341,0.33321,0.39881,0.13829,2.47857,1.42472,1.42294,0.001802,0.001802,0.001802
12,1045.57,2.48602,1.4993,1.3652,0.60179,0.3199,0.39369,0.14381,2.40447,1.44814,1.39138,0.0017822,0.0017822,0.0017822
13,1131.55,2.45693,1.47284,1.35003,0.61631,0.33277,0.40731,0.1456,2.43951,1.39016,1.38427,0.0017624,0.0017624,0.0017624
14,1217.15,2.44862,1.47962,1.35262,0.62648,0.33426,0.41605,0.15351,2.40067,1.39803,1.37606,0.0017426,0.0017426,0.0017426
15,1301.99,2.44024,1.43458,1.35043,0.63187,0.34481,0.42608,0.15782,2.37424,1.36548,1.37175,0.0017228,0.0017228,0.0017228
16,1388.13,2.42451,1.42029,1.33011,0.61801,0.34862,0.42634,0.158,2.3688,1.36665,1.3635,0.001703,0.001703,0.001703
